坆	墳
坋	坌
坌	坋
坎	埳
坏	坯
坑	阬
坛	壇
坟	墳
坤	堃
坭	泥
坯	坏
坰	冂 冋
坵	丘
垔	陻 堙
垛	垜
垜	垛
垻	壩
埇	甬
埜	野
域	㽣
埳	坎
埶	蓺 秇 藝
執	执
埼	㟢 崎 嵜 碕 陭 﨑 𥔎
埽	掃
堃	坤
堇	菫
堈	缸 罁
堘	塍
堙	垔 陻
堤	隄
堦	階
堭	隍
報	报
場	塲
堿	鹼 鹻
塍	堘
塐	塑
塑	塐
塔	㙮 墖
塟	葬
塡	窴
塢	隝 隖 鄔
塤	壎
塩	鹽
塲	場
塹	壍
塼	磚
墈	磡
墖	塔
墝	磽
墟	圩
墤	隤
墫	樽 罇
墰	罈 壜
墳	坆 坟
墻	廧 牆
壇	坛
壍	塹
壎	塤
壐	璽
壜	墰 罈
壩	垻
声	聲
壳	㱿 殻
壹	一 弌
壻	婿
壽	寿 夀
夀	壽 寿
夅	降
変	變
够	彀 夠
夠	够 彀
夢	梦 夣
夣	夢
天	靝
夯	䂫
夸	誇
奇	竒
奈	柰
奎	㚝 奞
奔	犇
奕	弈
奞	㚝 奎
奩	匳
奶	妳 嬭
她	他
妊	姙
妒	妬
妙	玅
妝	粧
妤	伃
妬	妒
妳	奶 嬭
姆	姥
姉	姊
姊	姉
姍	姗
姗	姍
姙	妊
姣	㚣
姥	姆
姻	婣
娘	孃
娠	㛛
娩	㝃
娬	嫵
娿	婀
婀	娿
婣	姻
婦	媍
婬	淫
婿	壻
媆	嫩
媍	婦
媿	愧
嫉	𡜱
嫕	嫛
嫛	嫕
嫩	媆 𡞾
嫫	嬷
嫵	娬
嫺	嫻
嫻	嫺
嬌	撟
嬪	𡴓
嬭	奶 妳
嬰	孾
嬷	嫫
孀	霜
孃	娘
子	只
孭	𧴯
學	斈
孼	孽
孽	孼
孾	嬰
宂	冗
它	佗 牠
完	烟 煙
宐	宜
宜	宐
宝	寚 寳 寶
宴	讌
宻	密
宼	寇
宿	㝛
寃	冤
密	宻
寇	宼
寍	寧
寔	實
寕	寜
寗	甯
寘	置
寚	宝 寳
寜	寕
察	詧
寠	窶
寡	關
實	寔
寧	寍 𡨴
寨	砦
寫	冩
寯	㝦 𮱠
寳	宝 寚 寶
寵	𠖥
寶	宝 寳
对	對
寿	壽 夀
尀	叵
尃	旉 敷
尅	剋
将	𤕭
將	𤕭
專	耑 𡵏
對	对
尒	尔 爾
尔	尒 爾
尗	叔
尢	尣
尣	尢
尨	狵
尩	㑌
尰	腫
尲	尷
尷	尲
尸	屍
尻	䯌
尽	盡
居	㞐
屆	届
屉	屜
届	屆
屍	尸
屜	屉 𡲕
属	𡱆 屬
屣	蹝 躧
屬	属 𡱆
岀	出
岁	亗 歲 𡻕
岡	崗
岨	砠
岩	巖
峒	洞
峨	峩
峩	峨
峭	陗
峯	峰
峰	峯
崎	㟢 埼 嵜 碕 陭 﨑 𥔎
崒	崪
崔	磪
崖	厓
崗	岡
崘	崙
崙	侖 崘
崧	嵩
崪	崒
嵗	歲
嵜	㟢 埼 崎 碕 陭 﨑 𥔎
嵠	谿
嵩	崧
嶃	磛
嶄	巉
嶇	㠊
嶎	蔚
嶝	磴
嶩	旳
巉	嶄
巍	魏
巖	岩
巛	川
川	巛
巡	廵
巤	鬣
帀	匝 迊
帆	㠶 颿
帋	紙
帒	袋
帙	袠
帚	箒
帬	裙
帮	幫 幇
帳	賬
幂	鼏
幇	帮 幫
幑	㫎
幕	幙
幙	幕
幞	襮
幟	旘
幡	旛
幫	帮 幇
幵	开
并	並 幷 竝
幷	並 并 竝
幸	倖
幺	么
庄	莊
庅	麽 麼
床	牀
庙	廟
庬	厖
庵	菴
庸	㐯 𠆌
庾	斞
廀	廋
廁	厠
廈	厦
廋	廀
廌	豸
廐	厩
廑	厪
廔	樓
廕	蔭
廚	厨
廝	㒋 厮
廟	庙
廠	厰
廧	墻 牆
廱	雝
廵	巡
廸	迪
廹	迫
廻	回 迴
廼	乃 迺
廿	卄
开	幵
弈	奕
弊	𡚁
弋	𢍺
弌	一 壹
弍	二 貳
弔	吊
弢	韜
弦	絃
強	强 彊
强	強 彊
彀	够 夠
彊	強 强
彐	彑
彑	彐
归	歸
彫	㓮 雕
彬	斌
彷	髣 徬
彸	伀
往	徃
徃	往
徑	俓
徒	𨑒
從	从
徠	倈 勑
御	馭
徤	健
徧	遍
徬	彷
徭	傜
德	悳 惪
徹	澈
心	㣺 忄
忄	㣺 心
忍	㣼
忤	啎 迕
忭	昪
忻	欣
忼	慷
怀	懷
怌	懷
怨	𠨝
怪	恠
怱	匆 悤
怳	恍
恆	恒
恊	勰
恋	戀
恍	怳
恐	𢙢
恒	恆
恠	怪
恡	吝 悋
恤	卹
恥	耻
恩	摁
恿	慂
悁	懁
悅	悦
悊	哲
悋	吝 恡
悐	惕
悚	𢥠
悞	誤
悠	滺
悤	匆 怱
悦	悅
悳	德
悶	㥃 懣
惇	敦
惕	悐
惛	惽
惝	𢠵
惧	懼
惩	懲
惪	德
惺	𢜫
惽	惛
愈	愉
愉	愈
愍	憫
愠	慍
愧	媿
愬	訴
愻	遜
愽	博
愿	願
慁	㥵
慂	恿
慈	㤵
慍	愠
慙	慚
慚	慙
慞	傽
慷	忼
慼	慽
慽	慼
慾	欲
憇	憩
憋	𢠳
憑	凴 𠗦
憔	顦
憙	喜
憝	譈 懟
憩	憇
憫	愍
憯	㦧
憰	譎
懁	悁
懔	凛
懜	懵
懟	憝 譈
懣	㥃 悶
懥	懫
懫	懥
懲	惩
懵	懜
懷	怀 怌
懼	惧
懽	歡 欢
戀	𤕈
戉	鉞
戧	創
戯	戲
戱	戲
戲	戯 戱
戹	厄
戼	卯
扅	扊
扊	扅
手	扌
扌	手
扎	紮
扑	撲
托	拓
扞	捍
执	執
扯	撦
扳	攀
扵	于 亏 於
扼	㧖 搤
抌	舀
抍	拯
抝	拗
报	報
抬	擡
抽	𢭆
抿	㨉
担	擔
拇	𧿹
拏	拿 挐
拓	托
拕	拖
拖	拕
拗	抝
拭	𢂑
拯	抍
拼	摒
拿	拏 挐
挂	掛
挐	拏 拿
挫	繲
挭	骾 鯁
挱	挲
挲	挱
挷	搒
挼	捼
捆	綑
捌	八
捍	扞
捏	揑
捓	揶
捦	擒
捬	撫
捵	䥀
捶	箠
捷	㨗
捼	挼
掂	敁
掃	埽
掏	搯
掐	𠜼
掛	挂
掩	揜
掬	匊
掽	碰
揅	研
揑	捏
揜	掩
