trad	vars	cn	tw	hk	jp	jpg	notes
垞		垞					
垟		垟					
垠		垠					
垡		垡					
垢		垢					
垣		垣					
垤		垤					
垧		垧					
垮		垮					
垵		垵					
垸		垸					
垺		垺					
垻		坝					
垾		垾					
垿		垿					
埂		埂					
埃		埃					
埆		埆					
埇		埇					
埋		埋					
埌		埌					
城		城					
埏		埏					
埒		埒					
埔		埔					
埕		埕					
埗		埗					
埝		埝					
域		域					
埠		埠					
埡		垭					
埤		埤					
埨		𫭢					
埪		埪					
埫		埫					
埬		𪣆					
埭		埭					
埯		埯					
埰		采					
埴		埴					
埵		埵					
執		执					
埸		埸					
培		培					
基		基					
埼	碕	埼					
埽		埽					
堂		堂					
堃		堃 坤					
堅		坚					
堆		堆					
堇		堇					
堉		堉					
堊		垩					
堋		堋					
堌		堌					
堍		堍					
堎		堎					
堐		堐					
堖		垴					
堙		堙					
堚		𪣒					
堝		埚					
堞		堞					
堠		堠					
堡		堡					
堤		堤					
堧		堧					
堨		堨					
堪		堪					
堯		尧					
堰		堰					
報		报					
堲		堲					
場		场					
堵		堵					
堼		堼					
堽		堽					
堾		堾					
塀	塀				塀	塀	
塄		塄					
塅		塅					
塊		块					
塋		茔					
塌		塌					
塍		塍					
塏		垲					
塑		塑					
塒		埘					
塔		塔					
塗		涂					
塘		塘					
塚		冢			塚	塚	
塝		塝					
塞		塞					
塢		坞					
塤		埙					
塥		塥					
填		填					
塬		塬					
塱		塱					
塵		尘					
塸		𫭟					
塹		堑					
塾		塾					
塿		𪣻					
墀		墀					
墁		墁					
境		境					
墅		墅					
墈		墈					
墉		墉					
墊		垫					
墐		墐					
墒		墒					
墓		墓					
墕		墕					
墘		墘					
墚		墚					
墜		坠					
增		增			増		
墟		墟					
墠		𫮃					
墡		墡					
墣		墣					
墦		墦					
墨		墨			墨	墨	
墩		墩					
墮		堕			堕		
墲		𪢸					
墳		坟					
墶		垯					
墼		墼					
墾		垦					
壁		壁					
壅		壅					
壇	墰 壜 罎	坛					
壈		𡒄					
壋		垱					
壎		埙					
壑		壑					
壓		压			圧		
壕		壕					
壗		𡋤					
壘		垒			塁		
壙		圹					
壚		垆					
壞		坏			壊		
壟		垄					
壠		垅					
壢		坜					
壣		𪤚					
壤		壤			壌		
壩		坝					
壪		塆					
士		士					
壬		壬					
壯		壮			壮		
壹		壹			壱		
壺	壷	壶					
壼		壸					
壽		寿			寿		
夏		夏					
夐		夐					
夔		夔					
夕		夕					
外		外					
夙		夙					
多		多					
夜		夜					
夠	够	够					
夢		梦					
夤		夤					
夥		伙 夥					
大		大					
天		天					
太		太					
夫		夫					
夬		夬					
夭		夭					
央		央					
夯		夯					
失		失					
夷		夷					
夸		夸					
夼		夼					
夾		夹					
奄		奄					
奇		奇					
奈		奈					
奉		奉					
奎		奎					
奏		奏					
奐		奂					
契		契					
奓		奓					
奔		奔					
奕		奕					
套		套					
奘		奘					
奚		奚					
奠		奠					
奡		奡					
奢		奢					
奧	奥	奥			奥		
奩		奁					
奪		夺					
奭		奭					
奮		奋					
女		女					
奴		奴					
奶		奶					
奸		奸					
她		她					
奼	姹	姹					
好		好					
妁		妁					
如		如					
妃		妃					
妄		妄					
妊		妊					
妍		妍					
妒		妒					
妓		妓					
妖		妖					
妗		妗					
妘		妘					
妙		妙					
妝		妆		妝 粧	粧		
妞		妞					
妣		妣					
妤		妤					
妥		妥					
妧		妧					
妨		妨					
妭		妭					
妮		妮					
妯		妯					
妲		妲					
妹		妹					
妻		妻					
妾		妾					
姆		姆					
姈		姈					
姊		姊					
始		始					
姍	姗	姗					
姐		姐					
姑		姑					
姒		姒					
姓		姓					
委		委					
姘		姘					
姚		姚					
姜		姜					
姝		姝					
姞		姞					
姣		姣					
姤		姤					
姥		姥					
姦		奸					
姨		姨					
姬		姬					
姮		姮					
姱		姱					
姶		姶					
姻		姻					
姽		姽					
姿		姿					
娀		娀					
威		威					
娃		娃					
娉		娉					
娌		娌					
娑		娑					
娓		娓					
娘		娘					
娙		𫰛					
娛	娱	娱					
娜		娜					
娟		娟					
娠		娠					
娣		娣					
娥		娥					
娩		娩					
娵		娵					
娶		娶					
娼		娼					
婀		婀					
婁		娄					
婆		婆					
婉		婉					
婊		婊					
婌		婌					
婍		婍					
婕		婕					
婘		婘					
婚		婚					
婞		婞					
婠		婠					
婡		𫝫					
婢		婢					
婤		婤					
婦		妇					
婧		婧					
婪		婪					
婫		婫					
婭		娅					
婷		婷					
婺		婺					
婻		婻					
婼		婼					
婿		婿					
媂		媂					
媄		媄					
媆		媆					
媈		𫝨					
媒		媒					
媓		媓					
媖		媖					
媚		媚					
媛		媛					
媞		媞					
媧		娲					
媰		㛀					
媱		媱					
媲		媲					
媳		媳					
媵		媵					
媸		媸					
媼	媪	媪		媪			
媽		妈					
媾		媾					
嫁		嫁					
嫂		嫂					
嫄		嫄					
嫉		嫉					
嫋	嬝	袅					
嫌		嫌					
嫕		嫕					
嫖		嫖					
嫗		妪					
嫘		嫘					
嫚		嫚					
嫜		嫜					
嫠		嫠					
嫡		嫡					
嫣		嫣					
嫦		嫦					
嫩		嫩					
嫪		嫪					
嫫		嫫					
嫭		嫭					
嫵		妩					
嫺		娴	嫻				
嫻		娴					
嫽		嫽					
嫿		婳					
嬀	媯	妫	媯	媯			
嬃		媭					
嬇		𫝬					
嬈		娆					
嬉		嬉					
嬋		婵					
嬌		娇					
嬖		嬖					
嬗		嬗					
嬙		嫱					
嬛		嬛					
嬡		嫒					
嬣		𪥰					
嬤	嬷	嬷					
嬥		嬥					
嬦		𫝩					
嬪		嫔					
嬬		嬬					
嬰		婴					
嬴		嬴					
嬸		婶					
嬻		𪥿					
嬿		嬿					
孀		孀					
孃		娘			嬢		
孄		𫝮					
孅		孅					
孆		𫝭					
孇		𪥫					
孋		㛤					
孌		娈					
孎		𡠟					
子		子					
孑		孑					
孓		孓					
孔		孔					
孕		孕					
孖		孖					
字		字					
存		存					
孚		孚					
孛		孛					
孜		孜					
孝		孝					
孟		孟					
孢		孢					
季		季					
孤		孤					
孥		孥					
孩		孩					
孫		孙					
孬		孬					
孰		孰					
孱		孱					
孳		孳					
孵		孵					
學		学			学		
孺		孺					
孻		𡥧					
孽		孽					
孾		𪧀					
孿		孪					
它		它					
宄		宄					
宅		宅					
宇		宇					
守		守					
安		安					
宋		宋					
完		完					
宏		宏					
宓		宓					
宕		宕					
宗		宗					
官		官					
宙		宙					
定		定					
宛		宛					
宜		宜					
客		客					
宣		宣					
室		室					
宥		宥					
宦		宦					
宧		宧					
宬		宬					
宮	宫	宫					
宰		宰					
害		害					
宴		宴					
宵		宵					
家		家					
宸		宸					
容		容					
宿		宿					
寀		采					
寁		寁					
寂		寂					
寄		寄					
寅		寅					
密		密					
寇		寇					
富		富					
寐		寐					
寒		寒					
寓		寓					
寞		寞					
察		察					
寠		𪧘					
寡		寡					
寢		寝			寝		
寤		寤					
寥		寥					
實		实			実		
寧		宁					
寨		寨					
審		审					
寫		写			写		
寬		宽			寛		
寮		寮					
