trad	vars	cn	tw	hk	jp	jpg	notes
浸		浸					
浹		浃					
浼		浼					
浿		𬇙					
涂		涂					
涄		涄					
涅		涅					
涇		泾					
消		消					
涉		涉			渉		
涌		涌					
涍		涍					
涎		涎					
涐		涐					
涑		涑					
涓		涓					
涔		涔					
涕		涕					
涗		涚		涚			
涘		涘					
涣		涣					
涪		涪					
涫		涫					
涮		涮					
涯		涯					
液		液					
涴		涴					
涵		涵					
涸		涸					
涼	凉	凉					
涿		涿					
淀		淀					
淄		淄					
淅		淅					
淆		淆					
淇		淇					
淋		淋					
淌		淌					
淏		淏					
淑		淑					
淒	凄	凄					
淖		淖					
淘		淘					
淙		淙					
淚	涙 泪	泪			涙		
淜		淜					
淝		淝					
淞		淞					
淟		淟					
淠		淠					
淡		淡					
淤		淤					
淥	渌	渌					
淦		淦					
淨	凈	净			浄		
淩		凌					
淪		沦					
淫		淫					
淬		淬					
淮		淮					
淯		淯					
深		深					
淳		淳					
淴		淴					
淵		渊					
淶		涞					
混		混					
淹		淹					
淺		浅			浅		
添		添					
淼		淼 渺					
清		清					
渙		涣					
渚		渚					
減	减	减					
渝		渝					
渟		渟					
渠		渠					
渡		渡					
渢		沨					
渣		渣					
渤		渤					
渥		渥					
渦		涡					
渫		渫					
測		测					
渭		渭					
港		港					
渰		渰					
渲		渲					
渴		渴			渇		
游		游					
渺		渺					
渼		渼					
渾		浑					
湃		湃					
湄		湄					
湉		湉					
湊	凑	凑					
湋		𣲗					
湍		湍					
湎		湎					
湑		湑					
湓		湓					
湔		湔					
湖		湖					
湘		湘					
湛		湛					
湜		湜					
湝		湝					
湞		浈					
湟		湟					
湣		湣					
湧		涌					
湫		湫					
湮		湮					
湯		汤					
湲		湲					
湴		湴					
溉		溉					
溍		溍					
溏		溏					
源		源					
準		准					
溘		溘					
溚		溚					
溜		溜					
溝		沟					
溞		溞					
溟		溟					
溠		溠					
溡		𪶄					
溢		溢					
溥		溥					
溦		溦					
溧		溧					
溪		溪			渓		
溫	温	温		温	温		
溮		浉					
溯	泝 遡	溯					
溱		溱					
溲		溲					
溳		涢					
溴		溴					
溵		溵					
溶		溶					
溷		溷					
溹		溹					
溺		溺					
溻		溻					
溼	濕	湿		濕	湿	濕	
溽		溽					
滁		滁					
滂		滂					
滃		滃					
滄		沧					
滅		灭					
滆		滆					
滇		滇					
滉		滉					
滋		滋					
滌		涤					
滍		滍					
滎		荥					
滏		滏					
滑		滑					
滓		滓					
滔		滔					
滕		滕					
滘		滘					
滧		滧					
滫		滫					
滬		沪					
滯		滞			滞		
滲		渗					
滴		滴					
滷		卤					
滸		浒					
滹		滹					
滻		浐					
滾	滚	滚					
滿		满			満		
漁		渔					
漂		漂					
漆		漆					
漈		漈					
漉		漉					
漊		溇					
漋		漋					
漍		𬇹					
漏		漏					
漓		漓					
演		演					
漕		漕					
漖		漖					
漚		沤					
漠		漠					
漢		汉			漢	漢	
漣		涟					
漤		漤					
漦		漦					
漩		漩					
漪		漪					
漫		漫					
漬		渍					
漭		漭					
漯		漯					
漱		漱					
漲		涨					
漳		漳					
漴		漴					
漵	溆	溆					
漶		漶					
漷		漷					
漸		渐					
漹		漹					
漻		漻					
漼		漼					
漾		漾					
漿		浆					
潁		颍					
潏		潏					
潑		泼			溌		
潔		洁					
潕		𣲘					
潖		潖					
潘		潘					
潙	溈	沩	溈	溈			
潚		㴋					
潛	潜	潜			潜		
潞		潞					
潟		潟					
潢		潢					
潣		𫞗					
潤		润					
潦		潦					
潨			潀	潀			
潩		潩					
潭		潭					
潮		潮					
潯		浔					
潰		溃					
潲		潲					
潵		潵					
潷		滗					
潸		潸					
潺		潺					
潼		潼					
潽		潽					
潾		潾					
潿		涠					
澀	澁	涩			渋	澁	
澂		澂 澄					
澄		澄					
澅		𣶩					
澆		浇					
澇		涝					
澈		澈					
澉		澉					
澌		澌					
澍		澍					
澎		澎					
澐		沄					
澗		涧					
澠		渑					
澡		澡					
澤		泽			沢		
澥		澥					
澦		滪					
澧		澧					
澩		泶					
澪		澪					
澫		𬇕					
澬		𫞚					
澭		澭					
澮		浍					
澱		淀					
澳		澳					
澴		澴					
澶		澶					
澹		澹					
澼		澼					
澽		澽					
澾		㳠					
激		激					
濁		浊					
濂		濂					
濃		浓					
濄		㳡					
濆		𣸣					
濉		濉					
濋		濋					
濘		泞					
濚		溁					
濛		蒙					
濜		浕					
濞		濞					
濟		济			済		
濠		濠					
濡		濡					
濤		涛			涛		
濧		㳔					
濩		濩					
濫		滥					
濮		濮					
濯		濯					
濰		潍					
濱		滨			浜		
濺		溅					
濼		泺					
濾		滤			沪		
濿		𪵱					
瀂		澛					
瀃		𣽷					
瀅		滢					
瀆		渎					
瀇		㲿					
瀉		泻					
瀋		沈 渖					
瀌		瀌					
瀍		瀍					
瀏		浏					
瀑		瀑					
瀔		瀔					
瀕		濒					
瀘		泸					
瀚		瀚					
瀛		瀛					
瀝		沥					
瀟		潇					
瀠		潆					
瀣		瀣					
瀦	潴	潴					
瀧		泷			滝		
瀨		濑			瀬		
瀰		弥 㳽					
瀱		瀱					
瀲		潋					
瀵		瀵					
瀹		瀹					
瀼		瀼					
瀾		澜					
灃		沣					
灄		滠					
灈		灈					
灌		灌					
灍		𫞝					
灑		洒					
灒		𪷽					
灕		漓					
灘		滩					
灙		𣺼					
灝		灏					
灞		灞					
灡		㳕					
灣		湾			湾		
灤		滦					
灧		滟					
灩	灎	滟					
火		火					
灰		灰					
灸		灸					
灼		灼					
災	灾	灾					
炅		炅					
炆		炆					
炊		炊					
炌		炌					
炎		炎					
炒		炒					
炔		炔					
炕		炕					
炖		炖					
炘		炘					
炙		炙					
炟		炟					
炣		炣					
炫		炫					
炬		炬					
炭		炭					
炮		炮					
炯		炯					
炱		炱					
炳		炳					
炷		炷					
炸		炸					
炻		炻					
烀		烀					
烈		烈					
烊		烊					
烏		乌					
烔		烔					
烘		烘					
烙		烙					
烜		烜					
烝		烝					
烠		烠					
烤		烤					
烯		烯					
烴		烃					
烶		烶					
烷		烷					
烹		烹					
烺		烺					
烻		烻					
烽		烽					
焆		焆					
焉		焉					
焊		焊					
焌		焌					
焐		焐					
焓		焓					
焗		焗					
焙		焙					
焚		焚					
焜		焜					
焞		焞					
無		无					
焦		焦					
焯		焯					
焰		焰			焔		
焱		焱					
然		然					
煁		煁					
煃		煃					
煅		煅					
煇		𪸩					
煉		炼					
煊		煊					
煋		煋					
煌		煌					
煎		煎					
煒		炜					
煓		煓					
煙	烟	烟					
煜		煜					
煞		煞					
煟		煟					
煢		茕					
煤		煤					
煥		焕					
煦		煦					
照		照					
煨		煨					
煩		烦					
煬		炀					
煮		煮			煮	煮	
煱		㶽					
煲		煲					
煳		煳					
煸		煸					
煺		煺					
煽		煽					
熂		𪸕					
熄		熄					
熅	煴	煴		煴			
熇		熇					
熉		𤈶					
熊		熊					
熌		𤇄					
熏		熏					
熒		荧					
熓		𤆡					
熔		熔					
熗		炝					
熘		熘					
熙		熙					
熚		𤇹					
熛		熛					
熜		熜					
熟		熟					
熠		熠					
熡		𤋏					
熥		熥					
熨		熨					
熬		熬					
熰		𬉼					
熱		热					
熲		颎					
熵		熵					
熹		熹					
熻		熻					
熾		炽					
燀		𬊤					
燁		烨					
燃		燃					
燈		灯			灯		
燉		炖					
燊		燊					
燋		燋					
燎		燎					
燏		燏					
燒		烧			焼		
燔		燔					
燕		燕					
燖		𬊈					
燙		烫					
燚		燚					
燜		焖					
營		营			営		
燠		燠					
燥		燥					
燦		灿					
燧		燧					
燬		毁					
燭		烛					
燮		燮					
燴		烩					
燶		㶶					
燹		燹					
燻		熏					
燼		烬					
燾		焘					
爃		𫞡					
爄		𤇃					
爆		爆					
爇		𦶟 爇					
爍		烁					
爐		炉			炉		
爔		爔					
爖		𤇭					
爚		爚					
爛		烂					
爝		爝					
爟		爟					
爥		𪹳					
爧		𫞠					
爨		爨					
爪		爪					
爬		爬					
爭	争	争			争		
爰		爰					
爲	為	为	為	為	為		
爵		爵					
父		父					
爸		爸					
爹		爹					
爺		爷					
爻		爻					
爽		爽					
爾		尔					
爿		爿					
牀	床	床	床		床		
牁		牁					
牂		牂					
牆	墻	墙					
片		片					
版		版					
牌		牌					
牒		牒					
牖		牖					
牘		牍					
牙		牙					
牚		牚					
牛		牛					
牝		牝					
牟		牟					
牠		它					
牡		牡					
牢		牢					
牤		牤					
牥		牥					
牧		牧					
物		物					
牮		牮					
牯		牯					
牲		牲					
牴		牴 抵					
特		特					
牻		牻					
牽		牵					
牾		牾					
牿		牿					
犀		犀					
犁		犁					
犄		犄					
犇		犇 奔					
犋		犋					
犍		犍					
犏		犏					
犒		犒					
犖		荦					
犛	氂 牦	牦					
犞		𪺭					
犟		犟					
犢		犊					
犧		牺			犠		
犨		犨					
犬		犬					
犯		犯					
犰		犰					
犴		犴					
狀		状			状		
狁		狁					
狂		狂					
狃		狃					
狄		狄					
狉		狉					
狍		狍					
狎		狎					
狐		狐					
狒		狒					
狗		狗					
狙		狙					
狠		狠					
狡		狡					
狨		狨					
狩		狩					
狳		狳					
狴		狴					
狷		狷					
狸		狸					
狹		狭			狭		
狺		狺					
狻		狻					
狼		狼					
狽		狈					
猁		猁					
猄		猄					
猇		猇					
猊		猊					
猌		𪺽					
猖		猖					
猗		猗					
猙	狰	狰					
猛		猛					
猜		猜					
猝		猝					
猞		猞					
猢		猢					
猥		猥					
猩		猩					
猯		猯					
猰		猰					
猱		猱					
猴		猴					
猶		犹					
猷		猷					
猹		猹					
猺		猺					
猻		狲					
猾		猾					
猿		猿					
獁		犸					
獄		狱					
獅		狮					
獊		𪺷					
獍		獍					
獎	奬 𤟌 㢡	奖			奨	奬	
獐		獐					
獒		獒					
獗		獗					
獠		獠					
獨		独			独		
獩		𤞃					
獪		狯					
獫		猃					
獬		獬					
獮		狝					
獯		獯					
獰		狞					
獱		㺍					
獲		获					
獴		獴					
獵		猎			猟		
獷		犷					
獸		兽			獣		
獺		獭					
獻		献			献		
獼		猕					
獾		獾					
玀		猡					
玁		𤞤					
玃		玃					
玄		玄					
率		率					
玉		玉					
王		王					
玎		玎					
玒		玒					
玓		玓					
玕		玕					
玖		玖					
玘		玘					
玞		玞					
玟		玟					
玠		玠					
玡		玡					
玢		玢					
玤		玤					
玥		玥					
玦		玦					
玩		玩					
玫		玫					
玭		玭					
玲		玲					
玳		玳					
玶		玶					
玷		玷					
玹		玹					
玻		玻					
玼		玼					
玿		玿					
珀		珀					
珂		珂					
珅		珅					
珇		珇					
珈		珈					
珉		珉					
珊		珊					
珋		珋					
珌		珌					
珍		珍					
珏		珏					
珒		珒					
珕		珕					
珖		珖					
珙		珙					
珛		珛					
珝		珝					
珞		珞					
珠		珠					
珢		珢					
珣		珣					
珥		珥					
珦		珦					
珧		珧					
珩		珩					
珪		珪					
珫		珫					
班		班					
珵		珵					
珷		珷					
珸		珸					
珹		珹					
珺		珺					
珼		𫞥					
珽		珽					
現		现					
琀		琀					
球		球					
琄		琄					
琅		琅					
理		理					
琇		琇					
琈		琈					
琉		琉					
琊		琊					
琔		琔					
琚		琚					
琛		琛					
琟		琟					
琡		琡					
琢		琢					
琤		琤					
琥		琥					
琦		琦					
琨		琨					
琪		琪					
琫		琫					
琬		琬					
琭		琭					
琮		琮					
琯		琯					
琰		琰					
琱		雕					
琲		琲					
琳		琳					
琴		琴					
琵		琵					
琶		琶					
琺	珐	珐					
琿		珲					
瑀		瑀					
瑁		瑁					
瑂		瑂					
瑃		瑃					
瑄		瑄					
瑅		瑅					
瑆		瑆					
瑋		玮					
瑑		瑑					
瑒		玚					
瑓		瑓					
瑔		瑔					
瑕		瑕					
瑖		瑖					
瑗		瑗					
瑙		瑙					
瑚		瑚					
瑛		瑛					
瑜		瑜					
瑝		瑝					
瑞		瑞					
瑟		瑟					
瑢		瑢					
瑣		琐					
瑤	瑶	瑶					
瑧		瑧					
瑨		瑨					
瑩		莹					
瑪		玛					
瑬		瑬					
瑭		瑭					
瑰		瑰					
瑱		瑱					
瑲		玱					
瑳		瑳					
瑻		𪻲					
瑽		𪻐					
瑾		瑾					
璀		璀					
璁		璁					
璃		璃					
璆		璆					
璇		璇					
璈		璈					
璉		琏					
璊		𫞩					
璋		璋					
璐		璐					
璒		璒					
璕		𬍤					
璗		𬍡					
璘		璘					
璜		璜					
璝		𪻺					
璞		璞					
璟		璟					
璠		璠					
璡		琎					
璣		玑					
璥		璥					
璦		瑷					
璧		璧					
璨		璨					
璩		璩					
璪		璪					
璫		珰					
璬		璬					
璮		璮					
璯		㻅					
環		环					
璱		璱					
璲		璲					
璵		玙					
璸		瑸					
璺		璺					
璼		𫞨					
璽		玺					
璾		𫞦					
璿		璇					
瓀		瓀					
瓄		𪻨					
瓅		𬍛					
瓊		琼					
瓏		珑					
瓔		璎					
瓕		𤦀					
瓖		瓖					
瓘		瓘					
瓚		瓒					
瓛		𤩽					
瓜		瓜					
瓞		瓞					
瓠		瓠					
瓢		瓢					
瓣		瓣			弁		
瓤		瓤					
瓦		瓦					
瓴		瓴					
瓶		瓶			瓶	甁	
瓷		瓷					
瓻		瓻					
瓿		瓿					
甄		甄					
甌		瓯					
甍		甍					
甏		甏					
甑		甑					
甓		甓					
甕	瓮	瓮					
甗		甗					
甘		甘					
甚		甚					
甜		甜					
生		生					
甡		甡					
產	産	产			産		
甥		甥					
甦		苏 甦					
用		用					
甩		甩					
甪		甪					
甫		甫					
甬		甬					
甭		甭					
甯		宁 甯					
田		田					
由		由					
甲		甲					
申		申					
男		男					
甸		甸					
町		町					
甾		甾					
畀		畀					
畈		畈					
畋		畋					
界		界					
畎		畎					
畏		畏					
畔		畔					
畖		畖					
留		留					
畚		畚					
畛		畛					
畜		畜					
畝		亩					
畢		毕					
畤		畤					
略		略					
畦		畦					
番		番					
畫	畵 𤱪 𨽶 𤲯	画			画		
畬		畬					
畯		畯					
異		异					
畲		畲					
當		当			当		
畸		畸					
畹		畹					
畼		𪽈					
畿		畿					
疁		疁					
疃		疃					
疆		疆					
疇		畴					
疊	叠	叠			畳		
疍		疍					
疏	疎	疏			疎 疏		
疐		疐					
疑		疑					
疔		疔					
疙		疙					
疚		疚					
疝		疝					
疢		疢					
疣		疣					
疤		疤					
疥		疥					
疫		疫					
疰		疰					
疱		疱					
疲		疲					
疳		疳					
疵		疵					
疸		疸					
疹		疹					
疼		疼					
疽		疽					
疾		疾					
痂		痂					
痃		痃					
痄		痄					
病		病					
症		症					
痊		痊					
痍		痍					
痓		痓					
痔		痔					
痕		痕					
痘		痘					
痙		痉					
痛		痛					
痞		痞					
痠		酸					
痢		痢					
痣		痣					
痤		痤					
痦		痦					
痧		痧					
痮		𪽪					
痰		痰					
痱		痱					
痹	痺	痹	痺	痺	痺		
痼		痼					
痾	疴	疴					
痿		痿					
瘀		瘀					
瘁		瘁					
瘂		痖					
瘃		瘃					
瘊		瘊					
瘋		疯					
瘌		瘌					
瘍		疡					
瘐		瘐					
瘓		痪					
瘕		瘕					
瘙		瘙					
瘛		瘛					
瘞		瘗					
瘟		瘟					
瘠		瘠					
瘡		疮					
瘢		瘢					
瘤		瘤					
瘥		瘥					
瘦		瘦			痩		
瘧		疟					
瘩		瘩					
瘭		瘭					
瘮		瘆					
瘰		瘰					
瘱		𪽷					
瘲		疭					
瘳		瘳					
瘴		瘴					
瘵		瘵					
瘸		瘸					
瘻	瘺	瘘					
瘼		瘼					
癀		癀					
療		疗					
癃		癃					
癆		痨					
癇		痫					
癉		瘅					
癌		癌					
癍		癍					
癐		𤶊					
癒		愈					
癔		癔					
癖		癖					
癗		癗					
癘		疠					
癜		癜					
癟		瘪					
癡	痴	痴	痴	痴	痴		
癢		痒					
癤		疖					
癥		症					
癧		疬					
癩		癞					
癬		癣					
癭		瘿					
癮		瘾					
癯		癯					
癰		痈					
癱		瘫					
癲		癫					
癸		癸					
登		登					
發		发			発		
白		白					
百		百					
癿		癿					
皁		皂	皂	皂			
皂		皂					
的		的					
皆		皆					
皇		皇					
皈		皈					
皋		皋			皐		
皎		皎					
皓		皓					
皕		皕					
皖		皖					
皙		皙					
皚		皑					
皛		皛					
皞		皞					
皟		𤾀					
皤		皤					
皦		皦					
皭		皭					
皮		皮					
皰		疱					
皴		皴					
皸		皲					
皺		皱					
皿		皿					
盂		盂					
盃		杯					
盅		盅					
盆		盆					
盈		盈					
盉		盉					
益		益					
盍		盍					
盎		盎					
盒		盒					
盔		盔					
盛		盛					
盜	盗	盗			盗		
盞		盏					
盟		盟					
盡		尽			尽		
監		监					
盤		盘					
盥		盥					
盦		盦					
盧		卢					
盨		𪾔					
盪		荡					
目		目					
盯		盯					
盱		盱					
盲		盲					
直		直					
盷		盷					
相		相					
盹		盹					
盼		盼					
盾		盾					
省		省					
眄		眄					
眇		眇					
眈		眈					
眉		眉					
眊		眊					
看		看					
眙		眙					
眚		眚					
眝		𪾣					
真	眞	真			真	眞	
眠		眠					
眢		眢					
眥	眦	眦					
眨		眨					
眩		眩					
眭		眭					
眯		眯					
眵		眵					
眶		眶					
眷		眷					
眸		眸					
眺		眺					
眼		眼					
着		着	著				
睃		睃					
睄		睄					
睇		睇					
睍		𪾢					
睎		睎					
睏		困					
睚		睚					
睛		睛					
睜	睁	睁					
睞		睐					
睡		睡					
睢		睢					
督		督					
睥		睥					
睦		睦					
睨		睨					
睫		睫					
睬		睬					
睹		睹					
睽		睽					
睾		睾	睪				
睿		睿					
瞀		瞀					
瞄		瞄					
瞅		瞅					
瞋		瞋					
瞌		瞌					
瞍		瞍					
瞎		瞎					
瞑		瞑					
瞘		眍					
瞜		䁖					
瞞		瞒					
瞟		瞟					
瞠		瞠					
瞢		瞢					
瞤		𥆧					
瞥		瞥					
瞧		瞧					
瞪		瞪					
瞫		瞫					
瞬		瞬					
瞭		瞭 了					
瞰		瞰					
瞳		瞳					
瞵		瞵					
瞶		瞆					
瞻		瞻					
瞼		睑					
瞽		瞽					
瞿		瞿					
矇		蒙					
矉		𪾸					
矍		矍					
矑		𪾦					
矓		眬					
矗		矗					
矚		瞩					
矛		矛					
矜		矜					
矞		矞					
矢		矢					
矣		矣					
知		知					
矧		矧					
矩		矩					
矬		矬					
短		短					
矮		矮					
矯		矫					
矰		矰					
石		石					
矸		矸					
矻		矻					
矼		矼					
砂		砂					
砄		砄					
砆		砆					
砉		砉					
砌		砌					
砍		砍					
砑		砑					
砒		砒					
研		研			研	硏	
砘		砘					
砝		砝					
砟		砟					
砠		砠					
砣		砣					
砥		砥					
砧		砧					
砫		砫					
砬		砬					
砭		砭					
砮		砮					
砰		砰					
破		破					
砵		砵					
砷		砷					
砸		砸					
砹		砹					
砼		砼					
硃		朱					
硅		硅					
硇		硇					
硊		硊					
硌		硌					
硍		硍					
硎		硎					
硐		硐					
硒		硒					
硔		硔					
硜		硁					
硝		硝					
硤		硖					
硨		砗					
硪		硪					
硫		硫					
硬		硬					
硭		硭					
确		确					
硯		砚					
硼		硼					
硿		硿					
碃		碃					
碇		碇					
碈		碈					
碉		碉					
碌		碌					
碎		碎			砕		
碏		碏					
碑		碑			碑	碑	
碓		碓					
碗		碗					
碘		碘					
碙		𥐻					
碚		碚					
碟		碟					
碡		碡					
碣		碣					
碥		碥					
碧		碧					
碨		碨					
碩		硕					
碭		砀					
碰		碰					
碲		碲					
碳		碳					
碴		碴					
碶		碶					
碸		砜					
碹		碹					
確		确					
碼		码					
碽		䂵					
碾		碾					
磁		磁					
磅		磅					
磉		磉					
磊		磊					
磋		磋					
磏		磏					
磐		磐					
磑		硙					
磔		磔					
磕		磕					
磙		磙					
磚		砖					
磜		磜					
磠		硵					
磡		磡					
磣		碜					
磧		碛					
磨		磨					
磬		磬					
磯		矶					
磲		磲					
磴		磴					
磷		磷					
磹		磹					
磻		磻					
磽		硗					
磾		䃅					
礁		礁					
礄		硚					
礅		礅					
礆		硷					
礌		礌					
礎		础					
礐		𬒈					
礒		𥐟					
礓		礓					
礙		碍					
礞		礞					
礦		矿					
礪		砺					
礫		砾					
礬		矾					
礮		𪿫 炮					
礱		砻					
礴		礴					
礵		礵					
示		示					
社		社			社	社	
祀		祀					
祁		祁					
祆		祆					
祇		祇 只					
祈		祈			祈	祈	
祉		祉			祉	祉	
祊		祊					
祋		祋					
祏		祏					
祐		佑 祐					
祓		祓					
祕		秘 祕	秘	秘	秘		
祖		祖			祖	祖	
祗		祗					
祚		祚					
祛		祛					
祜		祜					
祝		祝			祝	祝	
神		神			神	神	
祟		祟					
祠		祠					
祥		祥			祥	祥	
祧		祧					
票		票					
祭		祭					
祲		祲					
祺		祺					
祼		祼					
祾		祾					
祿	禄	禄			禄		
禁		禁					
禊		禊					
禋		禋					
禍		祸			禍	禍	
禎		祯					
福		福			福	福	
禒		禒					
禔		禔					
禕		祎					
禘		禘					
禚		禚					
禛		禛					
禡		祃					
禤		禤					
禦		御			御		
禧		禧					
禪		禅			禅		
禮		礼			礼		
禰		祢					
禱		祷			祷		
禳		禳					
禹		禹					
禺		禺					
禽		禽					
禾		禾					
禿	秃	秃					
秀		秀					
私		私					
秈	籼	籼					
秉		秉					
秋	龝 秌	秋					
种		种					
科		科					
秒		秒					
秕		秕					
秘		秘					
租		租					
秣		秣					
秤		秤					
秦		秦					
秧		秧					
秩		秩					
秫		秫					
秬		秬					
秭		秭					
秸		秸					
移		移					
稀		稀					
稂		稂					
稃		稃					
稅	税	税		税	税		
稈	秆	秆					
程		程					
稌		稌					
稍		稍					
稏		䅉					
稑		稑					
稔		稔					
稗		稗					
稙		稙					
稚		稚					
稜		棱					
稞		稞					
稟	禀	禀					
稠		稠					
種		种					
稱		称			称		
稷		稷					
稹		稹					
稻		稻			稲		
稼		稼					
稽		稽					
稿		稿					
穀		谷			穀	穀	
穄		穄					
穆		穆					
穇		䅟					
穌		稣					
積		积					
穎		颖			頴		
穗		穗			穂		
穙		穙					
穜		穜					
穟		穟					
穠		秾					
穡		穑					
穢		秽					
穩		稳			穏		
穫		获					
穭	稆	穞 稆					
穰		穰			穣		
穴		穴					
究		究					
穸		穸					
穹		穹					
空		空					
穿		穿					
窀		窀					
突		突			突	突	
窄		窄					
窅		窅					
窈		窈					
窊		窊					
窒		窒					
窕		窕					
窖		窖					
窗		窗					
窘		窘					
窟		窟					
窠		窠					
窣		窣					
窨		窨					
窩		窝					
窪		洼					
窬		窬					
窮		穷					
窯	窑	窑					
窳		窳					
窵		窎					
窶		窭					
窸		窸					
窺		窥					
窿		窿					
竄		窜					
竅		窍					
竇		窦					
竈	灶	灶	灶	灶	竃		
竊		窃			窃		
立		立					
竑		竑					
竘		竘					
站		站					
竚		𥩟					
竟		竟					
章		章					
竣		竣					
童		童					
竦		竦					
竫		竫					
竭		竭					
端		端					
竱		𫁟					
競		竞					
竹		竹					
竺		竺					
竽		竽					
竿		竿					
笄		笄					
笆		笆					
笈		笈					
笊		笊					
笏		笏					
笑		笑					
笙		笙					
笛		笛					
笞		笞					
笠		笠					
笤		笤					
笥		笥					
符		符					
笨		笨					
笪		笪					
笫		笫					
第		第					
笮		笮					
笯		笯					
笱		笱					
笳		笳					
笸		笸					
筀		筀					
筅		筅					
筆		笔					
筇		筇					
等		等					
筋		筋					
筌		筌					
筍	笋	笋					
筏		筏					
筐		筐					
筑		筑					
筒		筒					
答		答					
策		策					
筘		筘					
筠		筠					
筢		筢					
筤		筤					
筥		筥					
筦		筦 管					
筧		笕					
筮		筮					
筱		筱					
筲		筲					
筴		䇲 策					
筵		筵					
筶		筶					
筷		筷					
筻		筻					
箅		箅					
箇		个					
箋		笺					
箍		箍					
箏	筝	筝					
箐		箐					
箔		箔					
箕		箕					
箖		箖					
算		算					
箜		箜					
管		管					
箢		箢					
箬		箬					
箭		箭					
箱		箱					
箴		箴					
箸		箸					
節		节			節	節	
篁		篁					
範		范					
篆		篆					
篇		篇					
築		筑					
篋		箧					
篌		篌					
篔		筼					
篘		𥬠					
篙		篙					
篚		篚					
篝		篝					
篠		筿					
篡		篡					
篢		𬕂					
篤		笃					
篥		篥					
篦		篦					
篩		筛					
篪		篪					
篱		篱					
篳		筚					
篷		篷					
篸		𥮾					
篼		篼					
篾		篾					
簀		箦					
簂		𫂆					
簃		簃					
簇		簇					
簉		簉					
簋		簋					
簌		簌					
簍		篓					
簏		簏					
簑		蓑					
簕		簕					
簝		簝					
簞		箪					
簟		簟					
簠		簠					
簡		简					
簢		𫂃					
簣		篑					
簧		簧					
簪		簪					
簫		箫					
簰		簰					
簸		簸					
簹		筜					
簽		签					
簾		帘					
簿		簿					
籀		籀					
籃		篮					
籅		𥫣					
籋		𥬞					
籌		筹					
籍		籍					
籔		䉤					
籙		箓					
籛		篯					
籜		箨					
籟		籁					
籠		笼					
籤		签					
籥		籥					
籩		笾					
籪		簖					
籬		篱					
籮		箩					
籲		吁					
米		米					
籽		籽					
粉		粉					
粑		粑					
粒		粒					
粕		粕					
粗		粗					
粘		粘					
粞		粞					
粟		粟					
粢		粢					
粥		粥					
粱		粱					
粲		粲					
粳		粳					
粵	粤	粤					
粹		粹			粋		
粼		粼					
精		精					
粿		粿					
糅		糅					
糇		糇					
糈		糈					
糉	糭 粽	粽	粽	粽	粽		
糊		糊					
糌		糌					
糒		糒					
糕		糕					
糖		糖					
糗		糗					
糙		糙					
糜		糜					
糝		糁					
糞		粪					
糟		糟					
糠		糠					
糧		粮					
糨		糨					
糯		糯					
糰		团					
糲		粝					
糴		籴					
糵		糵					
糶		粜					
糹		纟					
糺		𫄙					
系		系					
糾		纠					
紀		纪					
紂		纣					
紃		𬘓					
約		约					
紅		红					
紆		纡					
紇		纥					
紈		纨					
紉		纫					
紊		紊					
紋		纹					
納		纳					
紐		纽					
紓		纾					
純		纯					
紕		纰					
紖		纼					
紗		纱					
紘		纮					
紙		纸					
級		级					
紛		纷					
紜		纭					
紝		纴					
紞		𬘘					
紟		𫄛					
素		素					
紡		纺					
索		索					
紫		紫					
紬		䌷					
紮		扎					
累		累					
細		细					
紱		绂					
紲		绁					
紳		绅					
紵		纻					
紹		绍					
紺		绀					
紼		绋					
紿		绐					
絀		绌					
絁		𫄟					
終		终					
絃		弦					
組		组					
絅		䌹					
絆		绊					
絍		𫟃					
絎		绗					
結		结					
絕	絶 𢇍 𠤉	绝			絶		
絙		𫄠					
絛	縧	绦					
絜		絜 洁					
絝		绔					
絞		绞					
絡		络					
絢		绚					
絥		𫄢					
給		给					
絧		𫄡					
絨		绒					
絪		𬘡					
絮		絮					
絰		绖					
統		统					
絲		丝			糸		
絳		绛					
絹		绢					
絺		𫄨					
綀		𦈌					
綁		绑					
綃		绡					
綄		𬘫					
綆		绠					
綇		𦈋					
綈		绨					
綋		𫟄					
綌		绤					
綎		𬘩					
綏		绥					
綐		䌼					
綑		捆					
經		经			経		
綖		𫄧					
綜		综					
綝		𬘭					
綞		缍					
綟		𫄫					
綠	緑	绿			緑		
綡		𫟅					
綢		绸					
綣		绻					
綦		綦					
綧		𬘯					
綪		𬘬					
綬		绶					
維		维					
綮		綮					
綯		绹					
綰		绾					
綱		纲					
網		网					
綳		绷					
綴		缀					
綵		彩 䌽					
綸		纶					
綹		绺					
綺		绮					
綻		绽					
綽		绰					
綾		绫					
綿		绵					
緄		绲					
緇		缁					
緊		紧					
緋		绯					
緍		𦈏					
緒		绪					
緓		绬					
緔		绱					
緖					緒		
緗		缃					
緘		缄					
緙		缂					
線	綫	线 缐					
緝		缉					
緞		缎					
緟		𫟆					
締		缔					
緡		缗					
緣		缘			縁		
緤		𫄬					
緦		缌					
編		编					
緩		缓					
緪		縆					
緬		缅					
緮		𫄭					
緯		纬					
緰		𦈕					
緱		缑					
緲		缈					
練		练			練	練	
緶		缏					
緷		𦈉					
緸		𦈑					
緹		缇					
緻		致					
縈		萦					
縉		缙					
縊		缢					
縋		缒					
縍		𫄰					
