626	楕		
627	驒		
628	苔		
629	殆		
630	堆		
631	碓		
632	腿		
633	頽		
634	戴		
635	醍		
636	托		
637	鐸		
638	凧		
639	襷		
640	燵		
641	坦		
642	疸		
643	耽		
644	啖		
645	蛋		
646	毯		
647	湛		
648	痰		
649	綻		
650	憚		
651	歎		
652	簞		
653	譚		
654	灘		
655	雉		
656	馳		
657	蜘		
658	緻		
659	筑		
660	膣		
661	肘		
662	冑		
663	紐		
664	酎		
665	厨		
666	蛛		
667	註		
668	誅		
669	疇		
670	躊		
671	佇		
672	楮		
673	箸		
674	儲		
675	瀦		
676	躇		
677	吊		
678	帖		
679	喋		
680	貼		
681	牒		
682	趙		
683	銚		
684	嘲		
685	諜		
686	寵		
687	捗		
688	枕		
689	槌		
690	鎚		
691	辻		
692	剃		
693	挺		
694	釘		
695	掟		
696	梯		
697	逞		
698	啼		
699	碇		
700	鼎		
701	綴		
702	鄭		
703	薙		
704	諦		
705	蹄		
706	鵜		
707	荻		
708	擢		
709	溺		
710	姪		
711	轍		
712	辿		
713	唸		
714	塡		
715	篆		
716	顚		
717	囀		
718	纏		
719	佃		
720	淀		
721	澱		
722	臀		
723	兎		
724	妬		
725	兜		
726	堵		
727	屠		
728	賭		
729	宕		
730	沓		
731	套		
732	疼		
733	桶		
734	淘		
735	萄		
736	逗		
737	棹		
738	樋		
739	蕩		
740	鄧		
741	橙		
742	濤		
743	檮		
744	櫂		
745	禱	祷	
746	撞		
747	禿		
748	瀆		
749	栃		
750	咄		
751	沌		
752	遁		
753	頓		
754	吞 呑		
755	貪		
756	邇		
757	匂		
758	韮		
759	涅		
760	禰		
761	捏		
762	捻		
763	撚		
764	膿		
765	囊		
766	杷		
767	爬		
768	琶		
769	頗		
770	播		
771	芭		
772	罵		
773	蟇		
774	胚		
775	徘		
776	牌		
777	稗		
778	狽		
779	煤		
780	帛		
781	柏		
782	剝		
783	粕		
784	箔		
785	莫		
786	駁		
787	瀑		
788	曝		
789	畠		
790	捌		
791	撥		
792	潑		
793	醱		
794	筏		
795	跋		
796	噺		
797	氾		
798	汎		
799	阪		
800	叛		
801	袢		
802	絆		
803	斑		
804	槃		
805	幡		
806	攀		
807	挽		
808	磐		
809	蕃		
810	屁		
811	庇		
812	砒		
813	脾		
814	痺		
815	鄙		
816	誹		
817	臂		
818	枇		
819	毘		
820	梶		
821	媚		
822	琵		
823	薇		
824	靡		
825	疋		
826	畢		
827	逼		
828	謬		
829	豹		
830	憑		
831	瓢		
832	屛	屏	
833	廟		
834	牝		
835	瀕		
836	憫		
837	鬢		
838	斧		
839	阜		
840	訃		
841	俯		
842	釜		
843	腑		
844	孵		
845	鮒		
846	巫		
847	葡		
848	撫		
849	蕪		
850	諷		
851	祓		
852	吻		
853	扮		
854	焚		
855	糞		
856	幷	并	
857	聘		
858	蔽		
859	餅		
860	斃		
861	袂		
862	僻		
863	璧		
864	襞		
865	蔑		
866	瞥		
867	扁		
868	篇		
869	騙		
870	娩		
871	鞭		
872	哺		
873	圃		
874	蒲		
875	戊		
876	牡		
877	姥		
878	菩		
879	呆		
880	彷		
881	庖		
882	苞		
883	疱		
884	捧		
885	逢		
886	蜂		
887	蓬		
888	鞄		
889	鋒		
890	牟		
891	芒		
892	茫		
893	虻		
894	榜		
895	膀		
896	貌		
897	鉾		
898	謗		
899	吠		
900	卜		
901	勃		
902	梵		
903	昧		
904	邁		
905	枡	桝	
906	俣		
907	沫		
908	迄		
909	曼		
910	蔓		
911	瞞		
912	饅		
913	鬘		
914	鰻		
915	蜜		
916	鵡		
917	冥		
918	瞑		
919	謎		
920	麵	麺	1
921	蒙		
922	朦		
923	勿		
924	籾		
925	悶		
926	揶		
927	爺		
928	鑓		
929	喩		
930	揄		
931	愈		
932	楡		
933	尤		
934	釉		
935	楢		
936	猷		
937	飫		
938	輿		
939	孕		
940	妖		
941	拗		
942	涌		
943	痒		
944	傭		
945	熔		
946	瘍		
947	蠅		
948	沃		
949	螺		
950	萊		
951	蕾		
952	洛		
953	埒		
954	拉		
955	辣		
956	瀾		
957	爛		
958	鸞		
959	狸		
960	裡		
961	罹		
962	籬		
963	戮		
964	慄		
965	掠		
966	笠		
967	溜		
968	榴		
969	劉		
970	瘤		
971	侶		
972	梁		
973	聊		
974	菱		
975	寥		
976	蓼		
977	淋		
978	燐		
979	鱗		
980	屢		
981	蛉		
982	蠣		
983	櫟		
984	礫		
985	轢		
986	煉		
987	漣		
988	憐		
989	簾		
990	鰊		
991	攣		
992	賂		
993	魯		
994	濾	沪	
995	廬		
996	櫓		
997	蘆	芦	
998	鷺		
999	弄		
1000	牢		
1001	狼		
1002	榔		
1003	瘻		
1004	﨟 臈		
1005	臘		
1006	朧		
1007	蠟	蝋	
1008	籠		
1009	聾		
1010	肋		
1011	勒		
1012	漉		
1013	麓		
1014	窪		
1015	歪		
1016	猥		
1017	隈		
1018	或		
1019	罠		
1020	椀		
1021	碗		
1022	彎	弯	
